Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Paprika röd,2014 Frukt och grönt,351,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Nederländerna (R0315),
Persilja blad,1989,352,Petroselinum crispum (Mill.) convar. crispum,Krydda (A0857),Persilja (B1550),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Pumpa,1989,353,Cucurbita maxima,Grönsaker och svamp (A0826),Pumpa (B1456),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Purjolök,2012 Grönsaker och rotfrukter,354,Allium porrum L.,Grönsaker och svamp (A0826),Purjolök (B1308),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Rödkål,2012 Grönsaker och rotfrukter,355,Brassica oleracea L. convar. capitata var. rubra,Grönsaker och svamp (A0826),Rödkål (B2072),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Huvudsallat,1989,356,Lactuca sativa var. capitata,Grönsaker och svamp (A0826),Huvudsallat (B2084),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Savojkål,1989,357,Brassica oleracea L. convar. capitata var. Sabauda,Grönsaker och svamp (A0826),Savojkål (B2415),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Salladskål,1995 Frukt och grönsaker,358,Brassica rapa L. ssp. Pekinensis,Grönsaker och svamp (A0826),Salladskål (B1051),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Sockerärter,2012 Grönsaker och rotfrukter,359,Pisum sativum var. sativum,Baljväxter (A0831),"Ärter, sockerärter (B2467)","Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),"Låda, box, ask (M0213)",Plast (N0036),Människoföda (P0026),"Kontinenter, regioner och länder (R0509)",
Spenat,1989,360,Spinacia oleracea L,Grönsaker och svamp (A0826),Spenat (B1420),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Spenat fryst,2012 Grönsaker och rotfrukter,361,Spinacia oleracea L,Grönsaker och svamp (A0826),Spenat (B1420),Blad (C0200),"Delad i bitar 0,3-1,5 cm (hackad) (E0115)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Europa (R0355),
Squash,2014 Frukt och grönt,362,Cucurbita pepo L.,Grönsaker och svamp (A0826),Zucchini (B1462),Frukt eller bär (C0167),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Tomat,2012 Grönsaker och rotfrukter,364,Lycopersicon esculentum Mill.,Grönsaker och svamp (A0826),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Europa (R0355),
Soltorkade tomater i olja avrunna,2004 Barn extra,365,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Vatten borttaget (H0138); Vegetabiliskt fett eller olja tillfört (H0263),Soltorkad (J0170),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Västra Europa (R0359),()
Trädgårdskrasse,1989,366,Lepidium sativum L. ssp. Sativum,Grönsaker och svamp (A0826),Trädgårdskrasse (B2270),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Vattenkrasse,1989,367,Nasturtium officinale R. Br.,Grönsaker och svamp (A0826),Vattenkrasse (B1492),Blad (C0200),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Vaxbönor,1989,368,Phaseolus vulgaris L.,Grönsaker och svamp (A0826),Vaxböna (B1351),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Vaxbönor frysta,1989,369,Phaseolus vulgaris L.,Grönsaker och svamp (A0826),Vaxböna (B1351),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Vitkål,2012 Grönsaker och rotfrukter,370,Brassica oleracea L.,Grönsaker och svamp (A0826),Vitkål (B2071),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Vitlök,1989,371,Allium sativum L.,Krydda (A0857),Vitlök (B1233),Lök (C0290),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Aubergine,2012 Grönsaker och rotfrukter,372,Solanum melongena L,Grönsaker och svamp (A0826),"Äggplanta, aubergine (B1458)","Frukt eller bär, skal borttaget (C0138)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Europa (R0355),
Gröna ärter,1989,373,Pisum sativum,Grönsaker och svamp (A0826),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Gröna ärter frysta,2012 Grönsaker och rotfrukter,374,Pisum sativum L.,Baljväxter (A0831),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Sverige (R0376),
Sparris grön el vit,2014 Frukt och grönt,375,Asparagus officinalis L.,Grönsaker och svamp (A0826),Sparris (B1415),Stam (C0101),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Salt tillfört (H0367),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Alfalfagroddar,1989,376,Medicago sativa subsp. sativa,Grönsaker och svamp (A0826),Alfalfa groddar (B1359),Groddar (C0183),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Dill,1989,377,Anethum graveolens L.,Krydda (A0857),Dill (B1277),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Gräslök,1989,378,Allium schoenoprasum L.,Grönsaker och svamp (A0826),Gräslök (B1294),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Basilika färsk,1998 Ris mjöl cous cous,379,Ocimum basilicum,Krydda (A0857),Basilika (B1158),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Chilipeppar färsk,1989,380,Capsicum sp,Grönsaker och svamp (A0826),Chilipeppar (B1250),Balja med små omogna fröer tex gröna bönor (C0169),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Paprika gul,2014 Frukt och grönt,381,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Nederländerna (R0315),
Paprika grön röd fryst,1989,382,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Champinjoner skivade frysta,1989,383,Agaricus bisporus,Grönsaker och svamp (A0826),Champinjoner (B2937),Hel växt eller de mesta delarna används (C0150),Skivad (E0137),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Linsgroddar,1989,384,Lens culinaris Medik ssp.culinaris,Grönsaker och svamp (A0826),Linser (B1268),Groddar (C0183),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Lök gul fryst,1989,385,Allium cepa L.,Grönsaker och svamp (A0826),Lök (B1300),Lök (C0290),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsaksblandning ärter majs morötter bönor fryst,1989,386,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsaksblandning ärter morötter bönor blomkål fryst,1989,387,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsaksblandning ärter morötter fryst,1989,388,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsaksblandning ärter majs paprika fryst,1989,389,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Grönsallat gurka tomat u dressing,2014 2015 NKMT beräknade livsmedel,390,Lycopersicon esculentum Mill.,Grönsaker och svamp (A0826),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Aggregat,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Råkost u dressing,2014 2015 NKMT beräknade livsmedel,391,Daucus carota L. ssp. sativa,"Grönsaker, rotfrukter och svamp (A0825)",Morot (B1227),Rot (C0306),"Delad i bitar < 0,3 cm (riven) (E0100)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Paprika grön gul röd,2014 2015 NKMT beräknade livsmedel,392,Capsicum annuum L. var. annuum,Grönsaker och svamp (A0826),Paprika (B1250),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingen industriell process tillämpad (H0003),Kyld (J0131),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Bambuskott konserv u lag,1989,393,Bambuseae,Grönsaksprodukter (A0827),Bambuskott (B1271),Stam (C0101),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Gröna bönor konserv m lag,1989,394,Phaseolus vulgaris L. ssp. vulgaris,Baljväxter (A0831),Gröna bönor (B1371),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),kok och ej avrunnen (G0018),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Med lag (Z0220)
Gröna bönor konserv u lag,1989,395,Phaseolus vulgaris L. ssp. vulgaris,Baljväxter (A0831),Gröna bönor (B1371),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),kokt och avrunnen (G0015),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Grönsaksblandning ärter majs paprika saltgurka fryst,1989,396,Pisum sativum,Grönsaksprodukter (A0827),Ärter (B1338),"Fullkorn, hela frön, gryn, bönor (C0133)",Fast (E0151),Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Champinjoner konserv m lag,1989,397,Agaricus bisporus,Grönsaksprodukter (A0827),Champinjoner (B2937),Hel växt eller de mesta delarna används (C0150),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Med lag (Z0220)
Löksoppa klar konserv tillagad,1989,398,Allium cepa L.,Soppa (A0865),Lök (B1300),Lök (C0290),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Löksoppa pulver tillagad,1989,399,Allium cepa L.,Soppa (A0865),Lök (B1300),Lök (C0290),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Rehydrerad (H0259),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Majskorn konserv u lag,2014 Frukt och grönt,400,Zea mays L.,Grönsaksprodukter (A0827),Sockermajs (B1595),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Metall (N0041),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Utan lag (Z0219)
Oliver gröna m paprikafyllning avrunna,2014 Frukt och grönt,401,Olea europaea L. var. europaea,Grönsaksprodukter (A0827),Gröna oliver (B1169),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Mjölksyre fermenterad (H0101); Salt tillfört (H0367); Syrad (H0200); Ättiksyra (inlagd) (H0300),Konserverad genom fermentering (J0104),Annat förpackningsmedium (K0004),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Spanien (),
Oliver svarta m olja avrunna,2014 Frukt och grönt,402,Olea europaea L. var. europaea,Grönsaksprodukter (A0827),Svarta oliver (B1170),"Frukt eller bär, oskalad, kärna eller frö borttaget (C0139)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Mjölksyre fermenterad (H0101); Salt tillfört (H0367); Syrad (H0200); Ättiksyra (inlagd) (H0300),Konserverad genom fermentering (J0104); Steriliserad/hermetiserad (J0123),Förpackad i fett eller olja (K0026),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Europa (R0355),
Grönsaksblandning inlagda el pickels sötad u lag,1989,403,Cucumis sativus L. var. sativus,Grönsaksprodukter (A0827),Gurka (B1404),"Frukt eller bär, oskalad, kärna kvar (C0140)",Delad eller mald (E0122),Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Pickled (H0190); Socker eller sirap tillfört (H0136); Syrad (H0200),Konserverad genom fermentering (J0104),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Utan lag (Z0219)
Sparris vit konserv u lag,2014 Frukt och grönt,404,Asparagus officinalis L.,Grönsaksprodukter (A0827),Sparris (B1415),Stam (C0101),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Metall (N0041),Människoföda (P0026),Sverige (R0376),Utan lag (Z0219)
Sparrissoppa redd konserv tillagad,1989,405,Asparagus officinalis L.,Soppa (A0865),Sparris (B1415),Stam (C0101),"Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Spannmål tillförd (H0152); Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Surkål konserv m lag,1989,406,Brassica oleracea L. convar. capitata var. capitata,Grönsaksprodukter (A0827),Vitkål (B2071),Huvudväxt (C0151),Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Mjölksyre fermenterad (H0101); Saltad (H0173); Vatten tillfört (H0148),Konserverad genom fermentering (J0104); Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Med lag (Z0220)
Tomater hela konserv m lag,1989,407,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Ingen industriell process tillämpad (H0003),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Med lag (Z0220)
Tomatjuice konserv drickf,1989,408,Lycopersicon esculentum Mill.,Juice och nektar (A0841),Tomat (B1276),Juice (C0300),"Vätska, låg viskositet, med små partiklar (drickfärdiga juicer) (E0114)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
Tomatpasta konserv,1989,409,Lycopersicon esculentum Mill.,Grönsaksprodukter (A0827),Tomat (B1276),"Frukt eller bär, oskalad, kärna kvar (C0140)",Fast (E0151),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),
