Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Jordärtskocka,287,69.1,289.3,12.9,0,2,4.5,78,0,2.6,3.2,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0.2,NULL,0.07,0.06,6,1.3,1.63,0.09,0,13,78,NULL,3.4,25,560,16,3,0.01,0.1,0.1,31,1989,Helianthus tuberosus L.,Grönsaker och svamp (A0826),Jordärtskocka (B1038),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Jordärtskocka,jordärtskocka
Kålrot,288,36.6,153.1,6.1,0.06,1.37,3,88.8,0,0.62,6.4,0.4,0.4,0,NULL,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0.03,0.01,0.02,0,0,0,0,0,0,1.2,14,0,0,3.7,0.05,0.03,57.1,1.48,1.7,0.22,0,50.8,30.4,0,0.23,41.8,166,9.1,7.7,0.02,0,0.15,13,2014 Frukt och grönt,Brassica napus ssp. rapifera,Grönsaker och svamp (A0826),Kålrot (B1413),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Kålrot,kålrot
Morot,289,36.4,152.1,6.6,0.24,0.69,2.42,89.45,0,0.58,3.2,3.05,3.05,0,NULL,0.05,0,0,0,0.05,0,0,0,0,0,0.14,0.12,0.02,0,0,0,0,0,0,861.5,8695,0,0.57,8,0.04,0,4.9,0.8,0.9,0.14,0,22.2,23,3,0.19,26,210,8,31,0.08,0,0.16,16,2012 Grönsaker och rotfrukter,Daucus carota L. ssp. sativa (Hoffm.) Schübl. & Mart.,Potatis och rotfrukter (A0829),Morot (B1227),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Morot,morot
Palsternacka,290,70.6,295.2,12.6,0.6,1.69,3.76,80.4,0,0.94,1.3,4.7,4.6,0,NULL,0.09,0,0,0,0.09,0,0,0.03,0,0.03,0.36,0.33,0.03,0,0,0,0,0,0,0.2,2,0,0.74,0,0.09,0.06,16.6,2.18,2.5,0.09,0,77.9,56,0.3,0.39,33,400,18,3,0.01,0,0.48,27,2012 Grönsaker och rotfrukter,Pastinaca L.,Potatis och rotfrukter (A0829),Palsternacka (B1483),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Palsternacka,palsternacka
Pepparrot,291,81.4,340.7,10.8,0.6,4.5,7.3,75,0,1.8,0.7,5.9,5.9,0,NULL,0.1,0,0,0,0.09,0.01,0,0.05,0,0.05,0.33,0.1,0.23,0,0,0,0,0,0,1.7,20,0,0,NULL,0.14,0.11,152,0.6,1.35,0.18,0,36,120,0.9,1.2,78,740,43,7,0.02,0.2,1.4,27,1989,Armoracia rusticana,Grönsaker och svamp (A0826),Pepparrot (B1146),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Pepparrot,pepparrot
Rotselleri,292,32.3,135.3,4.4,0.5,1.01,3.1,90,0,1.03,0,2.4,2.4,0,NULL,0.12,0,0,0,0.09,0,0.01,0.02,0.02,0.24,0.26,0.03,0,0,0,0,0,0,0,0.2,2,0,0.2,0.8,0.05,0.05,9.2,0.56,0.7,0.22,0,58.8,60,0,0.34,31.5,296,11.7,45,0.11,0,0.34,25,2014 Frukt och grönt,Apium graveolens var. rapaceum,Grönsaker och svamp (A0826),Rotselleri (B1729),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Rotselleri,rotselleri
Rädisa,293,15.3,64.1,2.2,0.1,0.6,1.6,95,0,0.5,1.6,0,0,0,NULL,0.03,0,0,0,0.02,0,0,0.01,0,0.01,0.04,0.01,0.03,0,0,0,0,0,0,1.2,15,0,0.1,NULL,0.02,0.04,33,0.2,0.3,0.06,0,27,36,1,0.8,41,280,10,21,0.05,0.1,0.5,5,1989,Raphanus sativus L. convar. sativus,Grönsaker och svamp (A0826),Rädisa (B2960),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Rädisa,"rädisa, rädisor"
Rödbeta,294,50.6,211.6,9.8,0.1,1.19,2.64,85.6,0,0.7,0,9.4,9.4,0,NULL,0.01,0,0,0,0.01,0,0,0.01,0,0.01,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,3.3,0.18,0.4,0.05,0,69.3,28,0.5,0.31,22,280,14,20,0.05,0,0.35,20,2012 Grönsaker och rotfrukter,Beta vulgaris var. vulgaris,Potatis och rotfrukter (A0829),Rödbeta (B2940),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,Rödbeta,"rödbeta, rödbetor"
Rättika,295,18.2,76,2.5,0.1,1,1.6,94,0,0.8,2,0.2,0.2,0,NULL,0.02,0,0,0,0.02,0,0,0.01,0,0.01,0.05,0.01,0.04,0,0,0,0,0,0,1.7,20,0,0,NULL,0.05,0.04,20,0.4,0.57,0.11,0,24,29,NULL,0.6,50,350,9,9,0.02,0.1,0.2,10,1989,Raphanus sativus L. convar. Sativus,Grönsaker och svamp (A0826),Rättika (B1513),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Rättika,rättika
Rotpersilja,296,61.2,256,10.7,0.6,2.3,1.6,83,0,1.8,1.5,2.2,2.2,0,NULL,0.09,0,0,0,0,0.09,0,0.03,0,0.03,0.36,0.33,0.03,0,0,0,0,0,0,2.5,30,0,1.7,NULL,0.1,0.08,41,2,2.38,0.23,0,180,77,NULL,1.2,55,562,36,17,0.04,0.1,0.5,20,1989,Petroselinum crispum convar. radicosum,Grönsaker och svamp (A0826),Rotpersilja (B2734),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Rotpersilja,rotpersilja
Majrova,297,35.1,147,6,0.3,1.1,1.9,90,0,0.7,3.4,0.5,0.5,0,NULL,0.05,0,0,0,0.04,0.01,0,0.04,0,0.04,0.14,0.05,0.09,0,0,0,0,0,0,5,60,0,0,NULL,0.04,0.04,16,1,1.18,0.08,0,20,50,NULL,0.3,35,300,20,17,0.04,0.1,0.2,16,1989,Brassica rapa L. ssp. Rapa,Grönsaker och svamp (A0826),Majrova (B1238),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Majrova,majrova
Svartrot,298,74.6,312,14.2,0.4,1.4,4,79,0,1,3,0,0,0,NULL,0,0,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,1.7,20,0,0.8,NULL,0.11,0.04,4,0.4,0.63,0.05,0,31,76,NULL,3.3,53,320,23,5,0.01,0.1,0.2,44,1989,Scorzonera hispanica L.,Grönsaker och svamp (A0826),Svartrot (B2962),Rot (C0306),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Svartrot,svartrot
Morötter konserv m lag,299,22.7,95.1,3.9,0.2,0.6,1.4,93,0,0.9,1.9,1.5,1.5,0,NULL,0.04,0,0,0,0.04,0,0,0,0,0,0.12,0.1,0.02,0,0,0,0,0,0,412.5,4950,0,0.3,NULL,0.02,0.03,3,0.4,0.5,0.11,0,8,20,NULL,0.6,25,173,9,240,0.6,0.4,0.3,0,1989,Daucus carota,Grönsaksprodukter (A0827),Morot (B1227),Rot (C0306),Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Annat förpackningsmedium (K0004),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Med lag (Z0220),,,
Morötter konserv u lag,300,23.3,97.6,4,0.2,0.6,1.5,93,0,0.7,2.1,1.7,1.7,0,NULL,0.04,0,0,0,0.02,0,0,0,0,0,0.12,0.1,0.01,0,0,0,0,0,0,666.7,6350,0,0.3,NULL,0.02,0.03,3,0.5,0.6,0.11,0,9,24,NULL,0.6,25,179,8,240,0.6,0.6,0.3,0,1989,Daucus carota,Grönsaksprodukter (A0827),Morot (B1227),Rot (C0306),Delad eller mald (E0122),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Utan lag (Z0219),,Morötter konserv,"morötter konserv, konserverade morötter"
Morotsjuice,301,33.9,141.8,6.3,0.4,0.7,1,91,0,0.6,2.3,2.4,2.4,0,NULL,0.08,0,0,0,0.07,0.01,0,0.01,0,0.01,0.23,0.2,0.03,0,0,0,0,0,0,218.3,2620,0,1.4,NULL,0.09,0.06,3.8,0.39,0.51,0.22,0,14,31,NULL,0.6,19,299.5,23,39,0.1,0.1,0.2,0,1989,Daucus carota,Juice och nektar (A0841),Morot (B1227),Juice (C0300),"Vätska, låg viskositet, med små partiklar (drickfärdiga juicer) (E0114)",Värmebehandling okänd (F0001),Tillagningsmetod ej tillämplig (G0003),Vatten tillfört (H0148),Okänd konserveringsmetod (J0001),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Morotsjuice,morotsjuice
Morötter kokta,305,36.3,151.5,6.57,0.24,0.69,2.41,89.1,0,0.97,3.19,3.04,3.04,0,NULL,0.05,0,0,0,0.05,0,0,0,0,0,0.14,0.12,0.02,0,0,0,0,0,0,858.1,8660,0,0.57,NULL,0.03,0,2.7,0.8,0.9,0.09,0,13.3,23.2,22.9,0.19,26.5,146.5,8.1,188.7,0.47,0,0.16,15.9,2014 2015 NKMT beräknade livsmedel,Daucus carota L. ssp. sativa,Grönsaker och svamp (A0826),Morot (B1227),Rot (C0306),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Morötter stuvade,306,81.8,342.1,7.14,4.75,1.9,1.6,83.25,0,1.33,2.04,3.71,1.94,0,NULL,1.08,0.09,0.04,0.12,0.58,0.19,0.02,2.31,0.03,2.21,1.08,0.78,0.3,0,0,0,0,3.75,19.4,572.6,5592,0.53,1.29,NULL,0.04,0.05,2.7,0.61,1.01,0.08,0.2,13.7,54.6,NULL,0.18,63.9,157.3,9.9,295.8,0.74,0.63,0.28,NULL,2014 2015 NKMT beräknade livsmedel,Daucus carota L. ssp. sativa,Grönsaker och svamp (A0826),Morot (B1227),Rot (C0306),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Jordärtskocka kokt,310,68.8,288.1,12.85,0,1.99,4.48,77.69,0,2.99,3.19,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0.2,NULL,0.04,0.04,3.3,1.29,1.62,0.06,0,7.8,78,NULL,3.39,25.5,390.5,16.1,160.8,0.4,0.1,0.1,30.9,2014 2015 NKMT beräknade livsmedel,Helianthus tuberosus L.,Grönsaksrätter (A0828),Jordärtskocka (B1038),Knöl (C0308),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Rotfrukter stekta,314,94.2,394.1,10.43,4.7,1.24,2.74,79.68,0,1.18,6.35,2.02,1.88,0,NULL,1.72,0.2,0.07,0.21,0.91,0.25,0.01,2.29,0.06,2.2,0.42,0.35,0.05,0,0,0,0,6.16,14.1,138.1,1253,0.01,0.74,NULL,0.05,0.03,17.5,1.23,1.44,0.14,0,32.4,35.8,25.9,0.27,34,221.9,10.7,223.3,0.56,0.12,0.25,15.5,2014 2015 NKMT beräknade livsmedel,Brassica napus ssp. rapifera,Grönsaksrätter (A0828),Kålrot (B1413),Rot (C0306),Hel och i delar (E0104),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),,,,
Rödbeta inlagd u lag,319,58.2,243.4,12,0.1,1.31,1.68,84.1,0,0.85,4.6,7.8,7.8,0,NULL,0.02,0,0,0,0.02,0,0,0.01,0,0.01,0.05,0.04,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,2.6,0.08,0.4,0,0,22.3,17,NULL,0.28,17,180,9,170,0.43,0,0.29,0,2012 Grönsaker och rotfrukter,Beta vulgaris var. vulgaris,Grönsaksprodukter (A0827),Rödbeta (B2940),Rot (C0306),"Hel, naturligt formad (E0150)",Värmebehandlad (F0022),Tillagningsmetod okänd (G0001),Syrad (H0200); Ättiksyra (inlagd) (H0300),Konserverad genom värmebehandling (J0120),Förpackat i ätlig lag (K0011),Burk (M0215),Glas (N0040),Människoföda (P0026),Europa (R0355),Utan lag (Z0219),,Inlagd rödbeta,"inlagd rödbeta, inlagda rödbetor"
Avokado,320,197.2,825.1,1.7,19.6,1.94,4.75,70,0,2.03,0.2,0.3,0.2,0,NULL,3.43,0,0,0,3.3,0.09,0.02,12.72,1.48,11.15,2.57,2.42,0.15,0,0,0,0,0,0,6.2,48,0,3.41,18.7,0.07,0.1,3.3,1.79,2.1,0.37,0,116,67,NULL,0.26,14,600,32,5,0.01,0,0.4,33,2012 Grönsaker och rotfrukter,Persea americana Mill.,Grönsaker och svamp (A0826),Avokado (B1470),"Frukt eller bär, skal borttaget, kärna eller frö borttaget (C0229)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),"Kontinenter, regioner och länder (R0509)",,,Avokado,avokado
Stjälkselleri,321,13.3,55.5,1.5,0.1,0.7,1.8,95,0,0.9,0.9,0.3,0.3,0,NULL,0.02,0,0,0,0.02,0,0,0.02,0,0.02,0.04,0.04,0,0,0,0,0,0,0,9.2,110,0,0.2,NULL,0.04,0.08,7,0.5,0.62,0.09,0,9,26,1.9,0.4,70,320,8,62,0.16,1,0.4,20,1989,Apium graveolens var. dulce,Grönsaker och svamp (A0826),Blekselleri (B1282),Stjälk (C0186),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Stjälkselleri,stjälkselleri
Blomkål,322,24.4,102.1,2.6,0.17,1.94,2.33,92.2,0,0.78,2.1,0.6,0.6,0,NULL,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.08,0.02,0.05,0,0,0,0,0,0,0.5,6,0,0.1,27.3,0.06,0.05,79.1,0.52,0.8,0.18,0,88.4,43,0.8,0.34,23,340,11,6,0.02,0,0.25,21,2012 Grönsaker och rotfrukter,Brassica oleracea L.,Grönsaker och svamp (A0826),Blomkål (B1094),Blomma (C0237),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Europa (R0355),,,Blomkål,blomkål
Blomkål fryst,323,23.8,99.4,2.3,0.3,2,1.9,93,0,0.5,2,0.1,0.1,0,NULL,0.06,0,0,0,0.05,0,0,0.02,0,0.02,0.16,0.02,0.14,0,0,0,0,0,0,1.5,18,0,0.07,NULL,0.05,0.07,49,0.4,0.73,0.12,0,64,34,0.8,0.5,22,220,10,9,0.02,0.5,0.3,0,1989,Brassica oleracea convar. botrytis var. botrytis,Grönsaker och svamp (A0826),Blomkål (B1094),Blomma (C0237),"Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fryst blomkål,"fryst blomkål, blomkål fryst"
Bondbönor färska kokta,324,66.6,278.5,7.5,0.6,5.6,4.2,81,0,1.1,1.2,0.5,0.5,0,NULL,0.08,0,0,0,0.07,0,0.01,0.12,0,0.12,0.27,0.25,0.02,0,0,0,0,0,0,17.5,210,0,0.3,NULL,0.17,0.11,33,1.5,2.43,0.07,0,104,95,NULL,1.9,22,250,38,5,0.01,1,1.9,66,1989,Vicia faba L.,Baljväxter (A0831),Bondbönor (B1367),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,,
Broccoli,325,35.2,147.3,3.12,0.27,3.5,3.1,89.1,0,0.91,1.65,0.2,0.2,0,NULL,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.09,0.03,0.06,0,0,0,0,0,0,39.2,470,0,0.36,NULL,0.08,0.12,83,0.61,1.19,0.21,0,175,81.3,0.8,0.66,62,332,23,3.5,0.01,0.5,0.4,39,1995 Frukt och grönsaker,Brassica oleracea convar. botrytis var. italica,Grönsaker och svamp (A0826),Broccoli (B1443),Stam (C0101),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Broccoli,broccoli
Broccoli fryst,326,24,100.4,1.8,0.3,2.38,2.28,92.7,0,0.59,1.4,0.2,0.2,0,NULL,0.05,0,0,0,0.04,0.01,0,0.02,0,0.02,0.14,0.03,0.11,0,0,0,0,0,0,39.5,469,0,1.27,158,0.05,0.03,53.8,0.37,0.8,0.12,0,99,51,NULL,0.51,31,190,18,16,0.04,0,0.28,0,2012 Grönsaker och rotfrukter,Brassica oleracea var. botrytis L,Grönsaker och svamp (A0826),Broccoli (B1443),Blomma (C0237),"Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Påse (M0197),Plast (N0036),Människoföda (P0026),Europa (R0355),,,Fryst broccoli,"fryst broccoli, broccoli fryst"
Brysselkål,327,43.6,182.4,4.7,0.3,3.4,4.2,86,0,1.4,2,0.6,0.6,0,NULL,0.05,0,0,0,0.04,0,0.01,0.01,0,0.01,0.18,0.04,0.14,0,0,0,0,0,0,35.8,430,0,0.88,NULL,0.14,0.09,85,0.7,1.27,0.22,0,159,69,0.3,1.4,42,390,23,7,0.02,1,0.5,23,1989,Brassica oleracea L. convar. gemmifera,Grönsaker och svamp (A0826),Brysselkål (B1611),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Brysselkål,brysselkål
Brysselkål fryst,328,41.4,173.2,3.4,0.4,3.8,4.5,87,0,0.9,1.8,0.5,0.5,0,NULL,0.06,0,0,0,0.05,0,0.01,0.01,0,0.01,0.24,0.05,0.18,0,0,0,0,0,0,20,240,0,0.34,NULL,0.11,0.12,74,0.6,1.23,0.2,0,136,62,NULL,0.9,26,370,20,10,0.03,1,0.3,0,1989,Brassica oleracea L. convar. gemmifera,Grönsaker och svamp (A0826),Brysselkål (B1611),Huvudväxt (C0151),"Hel, naturligt formad (E0150)",Delvis värmebehandlad (F0018),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Fryst brysselkål,"fryst brysselkål, brysselkål fryst"
Mungbönsgroddar,329,34.5,144.2,3.2,0.4,3,3,90,0,0.4,0.4,0.4,0,0,NULL,0.1,0,0,0,0.07,0.02,0,0.05,0,0.05,0.13,0.09,0.04,0,0,0,0,0,0,1,12,0,0.2,NULL,0.08,0.12,13,0.7,1.2,0.09,0,61,54,NULL,0.9,13,149,21,6,0.02,1,0.4,0,1989,Vigna radiata (L.) R. Wilczek var. radiata,Grönsaker och svamp (A0826),Mungbönor (B1395),Groddar (C0183),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,Mungbönsgroddar,mungbönsgroddar
Sojabönsgroddar,330,145.9,610.4,7,6.7,13.1,2.6,69,0,1.6,0.2,0.2,0,0,NULL,0.75,0,0,0,0,0.75,0,0.78,0.7,0.08,3.83,3.24,0.59,0,0,0,0,0,0,0.5,6,0,0.2,NULL,0.34,0.12,15,1.1,3.28,0.18,0,172,164,NULL,2.1,67,484,72,14,0.04,1,1.2,0,1989,Glycine max (L.) Merr.,Grönsaker och svamp (A0826),Sojabönor (B1452),Groddar (C0183),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Sojabönsgroddar,sojabönsgroddar
Gröna bönor,331,29.9,125,3.5,0.1,1.8,3.9,90,0,0.7,1.2,0.5,0.5,0,NULL,0.03,0,0,0,0.03,0,0,0,0,0,0.05,0.02,0.03,0,0,0,0,0,0,15,180,0,0.3,NULL,0.09,0.11,16,0.7,1,0.1,0,36,39,0.8,1,48,235,22,6,0.02,0.5,0.4,6,1989,Phaseolus vulgaris L. ssp. vulgaris,Baljväxter (A0831),Gröna bönor (B1371),"Fullkorn, hela frön, gryn, bönor (C0133)","Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Gröna bönor,gröna bönor
